P_Name,Surname,Nationality,Salary,NewSalary
Mike,Dunleavy,"united states",1023327.00,900527.76
Jacque,Vaughn,"united states",2999567.00,2639618.96
Lindsey,Hunter,"united states",686563.00,604175.44
Jason,Kidd,"united states",1701882.00,1497656.16
Derek,Fisher,"united states",1489306.00,1310589.28
Tyronn,Lue,"united states",3195457.00,2812002.16
Earl,Watson,"united states",3265416.00,2873566.08
Luke,Walton,"united states",1143213.00,1006027.44
Mike,Miller,"united states",1683711.00,1481665.68
Steve,Nash,"united states",434072.00,381983.36
Ime,Udoka,"united states",1593766.00,1402514.08
Willie,Green,"united states",3288264.00,2893672.32
Chauncey,Billups,"united states",1724267.00,1517354.96
Nick,Exel,"united states",1635794.00,1439498.72
Aaron,Miles,"united states",35933.00,31621.04
Damon,Stoudamire,"united states",3431184.00,3019441.92
Evan,Turner,"united states",3296134.00,2900597.92
Walter,McCarty,"united states",2524408.00,2221479.04
Rick,Brunson,"united states",1534436.00,1350303.68
Adrian,Griffin,"united states",1676882.00,1475656.16
Greg,Buckner,"united states",1173263.00,1032471.44
Damon,Jones,"united states",3788683.00,3334041.04
James,Posey,"united states",2130286.00,1874651.68
Jared,Dudley,"united states",1000273.00,880240.24
Darrell,Armstrong,"united states",1904935.00,1676342.80
Ryan,Bowen,"united states",758039.00,667074.32
Dee,Brown,"united states",2760341.00,2429100.08
Aaron,Gray,"united states",3829760.00,3370188.80
Malik,Allen,"united states",27614.00,24300.32
Jarron,Collins,"united states",2250820.00,1980721.60
Brian,Scalabrine,"united states",889793.00,783017.84
Calbert,Cheaney,"united states",3769042.00,3316756.96
DeSagana,Diop,"united states",3904475.00,3435938.00
Vitaly,Potapenko,"united states",3472149.00,3055491.12
Sam,Cassell,"united states",656232.00,577484.16
Mark,Madsen,"united states",3258820.00,2867761.60
Blake,Ahearn,"united states",3763677.00,3312035.76
Jerry,Stackhouse,"united states",2384751.00,2098580.88
Caron,Butler,"united states",1567592.00,1379480.96
Anthony,Carter,"united states",49734.00,43765.92
