P_Name,Surname,BirthDate,Victory_percent
Steve,Kerr,31/12/1956,81.70
Avery,Johnson,31/12/1975,76.00
Tom,Thibodeau,31/12/1966,75.60
Phil,Jackson,31/12/1972,71.30
Nick,Nurse,31/12/1962,70.70
Gregg,Popovich,31/12/1959,67.30
Billy,Donovan,31/12/1965,67.10
Steve,Nash,31/12/1956,66.70
Pat,Riley,31/12/1968,66.10
Tyronn,Lue,31/12/1964,65.90
David,Blatt,31/12/1958,64.60
Ime,Udoka,31/12/1957,62.20
Rick,Adelman,31/12/1963,61.00
Mike,Brown,31/12/1970,61.00
Dave,Joerger,31/12/1962,61.00
Stan,Gundy,31/12/1968,60.50
Rick,Carlisle,31/12/1958,60.00
Jerry,Sloan,31/12/1959,59.90
George,Karl,31/12/1969,59.00
Jeff,Hornacek,31/12/1969,58.50
Flip,Saunders,31/12/1964,58.00
Larry,Brown,31/12/1961,57.70
Paul,Westphal,31/12/1975,57.50
Don,Nelson,31/12/1962,57.20
Lawrence,Frank,31/12/1967,56.90
Jeff,Gundy,31/12/1971,56.80
Joe,Prunty,31/12/1964,56.80
Monty,Williams,31/12/1961,56.10
Mike,Fratello,31/12/1972,55.80
Mike,D'Antoni,31/12/1968,54.90
Tony,DiLeo,31/12/1970,54.20
Larry,Drew,31/12/1964,53.70
Jason,Kidd,31/12/1959,53.70
Bob,Hill,31/12/1973,53.60
Doug,Collins,31/12/1975,53.20
Frank,Vogel,31/12/1966,52.60
Scott,Skiles,31/12/1960,52.50
Steve,Clifford,31/12/1971,52.40
Erik,Spoelstra,31/12/1967,52.40
David,Fizdale,31/12/1971,52.40
Maurice,Cheeks,31/12/1958,52.20
J.B.,Bickerstaff,31/12/1959,52.10
Jim,O'Brien,31/12/1958,51.70
Fred,Hoiberg,31/12/1956,51.20
Isiah,Thomas,31/12/1961,50.00
Vinny,Negro,31/12/1965,50.00
Doc,Rivers,31/12/1963,49.50
Mike,Dunleavy,31/12/1965,49.30
Nate,McMillan,31/12/1973,48.80
Brian,Hill,31/12/1975,48.60
Michael,Curry,31/12/1974,47.60
Nate,Bjorkgren,31/12/1973,47.20
Paul,Silas,31/12/1963,47.00
Taylor,Jenkins,31/12/1959,46.60
Jeff,Bower,31/12/1971,46.60
Reggie,Theus,31/12/1958,46.30
Mike,Budenholzer,31/12/1957,46.30
Quin,Snyder,31/12/1972,46.30
Terry,Porter,31/12/1973,46.00
Byron,Scott,31/12/1972,45.40
Alvin,Gentry,31/12/1961,44.90
Bernie,Bickerstaff,31/12/1965,44.90
Eric,Musselman,31/12/1967,43.90
Brian,Shaw,31/12/1964,43.90
Willie,Green,31/12/1965,43.90
Melvin,Hunt,31/12/1957,43.50
Jim,Boylan,31/12/1971,42.90
Wes,Unseld,31/12/1969,42.70
Bob,Weiss,31/12/1973,42.70
Eddie,Jordan,31/12/1967,42.30
Terry,Stotts,31/12/1962,42.00
P.J.,Carlesimo,31/12/1971,41.70
Mike,Montgomery,31/12/1960,41.50
Kevin,McHale,31/12/1957,41.50
Ryan,Saunders,31/12/1968,40.50
Dwane,Casey,31/12/1970,40.20
Sam,Vincent,31/12/1957,39.00
Chris,Finch,31/12/1974,39.00
Mike,Miller,31/12/1958,38.60
Jay,Triano,31/12/1958,38.50
Keith,Smart,31/12/1964,36.90
Sam,Mitchell,31/12/1971,36.60
Randy,Wittman,31/12/1968,35.90
Lloyd,Pierce,31/12/1972,35.40
Kaleb,Canales,31/12/1958,34.80
Mark,Jackson,31/12/1960,34.80
Michael,Malone,31/12/1972,34.10
Johnny,Davis,31/12/1962,33.30
James,Borrego,31/12/1956,33.30
John,Kuester,31/12/1966,32.90
Chauncey,Billups,31/12/1969,32.90
Kurt,Rambis,31/12/1960,32.80
Scott,Brooks,31/12/1967,31.90
Luke,Walton,31/12/1966,31.70
Tony,Barone,31/12/1975,30.80
Mark,Daigneault,31/12/1975,30.60
Brad,Stevens,31/12/1969,30.50
Lionel,Hollins,31/12/1974,30.10
